Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.0101210698485374	-2.52787299359625E-06	1800.0316	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0317	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0318	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0319	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.032	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0321	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0322	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0323	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0324	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0325	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0326	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0327	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0328	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0329	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.033	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0331	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0332	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0333	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0334	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0335	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0336	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0337	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0338	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0339	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.034	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0341	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0342	0	0	
-0.00981436483561993	-2.52664608524356E-06	1800.0343	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0344	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0345	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0346	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0347	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0348	0	0	
-0.00981436483561993	-2.52603308581456E-06	1800.0349	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.035	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0351	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0352	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0353	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0354	0	0	
-0.00981436483561993	-2.52603308581456E-06	1800.0355	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.0356	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0357	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0358	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0359	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.036	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0361	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0362	0	0	
-0.0101210698485374	-2.52480595008819E-06	1800.0363	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0364	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0365	0	0	
-0.00981436483561993	-2.52480595008819E-06	1800.0366	0	0	
-0.00981436483561993	-2.5241920411645E-06	1800.0367	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0368	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0369	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.037	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0371	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0372	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0373	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0374	0	0	
-0.00981436483561993	-2.5235790417355E-06	1800.0375	0	0	
-0.00981436483561993	-2.5235790417355E-06	1800.0376	0	0	
-0.00981436483561993	-2.5241920411645E-06	1800.0377	0	0	
-0.00981436483561993	-2.5235790417355E-06	1800.0378	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0379	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.038	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0381	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0382	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0383	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0384	0	0	
-0.00981436483561993	-2.5241920411645E-06	1800.0385	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0386	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0387	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0388	0	0	
-0.0101210698485374	-2.5235790417355E-06	1800.0389	0	0	
-0.00981436483561993	-2.5235790417355E-06	1800.039	0	0	
-0.0101210698485374	-2.5241920411645E-06	1800.0391	0	0	
